agent_id,cycle,messages_sent,messages_received,vision_x,vision_y,estimated_x,estimated_y,sent_x,sent_y,agent_with_vision,agent_who_broadcasted,agent_pos_x,agent_pos_y
1,0,1,8,0.0,-0.0,-0.0,-0.0,-0.0,-0.04,True,True,-13.97,-0.01
2,0,1,7,,,-0.0,-0.0,0.0,-0.01,False,True,-8.99,-4.98
3,0,1,7,,,-0.0,-0.0,0.0,0.02,False,True,-9.02,-0.02
4,0,1,7,,,-0.0,-0.0,-0.01,-0.01,False,True,-9.02,5.02
5,0,0,8,,,-0.0,-0.0,,,False,False,-4.98,-5.02
6,0,1,7,,,-0.0,-0.0,-0.01,0.01,False,True,-5.0,0.02
7,0,1,7,,,-0.0,-0.0,-0.02,-0.02,False,True,-4.95,4.98
8,0,1,7,,,-0.0,-0.0,0.0,-0.01,False,True,-1.02,-5.98
9,0,1,7,,,-0.0,-0.0,-0.0,0.0,False,True,-1.01,-2.39
10,0,1,7,,,-0.0,-0.0,-0.0,-0.0,False,True,-1.02,2.46
11,0,0,8,,,-0.0,-0.0,,,False,False,-0.98,6.02
1,1,1,8,-0.0,0.01,0.0,0.0,0.0,-0.01,True,True,-13.99,-0.01
2,1,1,8,,,0.0,-0.0,-0.02,0.02,False,True,-8.91,-4.99
3,1,1,8,,,0.0,-0.0,0.02,0.02,False,True,-8.89,-0.02
4,1,1,8,,,0.0,-0.0,0.0,0.01,False,True,-8.92,4.94
5,1,0,9,,,0.0,-0.0,,,False,False,-5.0,-5.02
6,1,1,8,,,0.0,-0.0,-0.0,-0.0,False,True,-4.94,-0.03
7,1,1,8,,,0.0,-0.0,0.02,0.0,False,True,-4.95,4.98
8,1,1,8,,,0.0,-0.0,0.01,-0.02,False,True,-0.94,-5.98
9,1,1,8,,,0.0,-0.0,0.01,-0.0,False,True,-0.88,-2.13
10,1,1,8,,,0.0,-0.0,-0.0,-0.0,False,True,-1.0,2.47
11,1,0,9,,,0.0,-0.0,,,False,False,-0.87,5.95
1,2,1,8,0.0,-0.03,-0.0,0.0,-0.0,0.03,True,True,-13.99,0.02
2,2,1,8,,,-0.0,0.0,0.03,-0.02,False,True,-8.75,-4.99
3,2,1,8,,,-0.0,0.0,-0.01,-0.02,False,True,-8.56,-0.04
4,2,1,8,,,-0.0,0.0,0.02,0.05,False,True,-8.73,4.87
5,2,0,9,,,-0.0,0.0,,,False,False,-4.92,-5.01
6,2,1,8,,,-0.0,0.0,0.01,0.0,False,True,-4.73,-0.08
7,2,1,8,,,-0.0,0.0,-0.01,0.01,False,True,-4.82,4.95
8,2,1,8,,,-0.0,0.0,-0.01,0.0,False,True,-0.71,-6.0
9,2,1,8,,,-0.0,0.0,-0.01,-0.0,False,True,-0.81,-1.78
10,2,1,8,,,-0.0,0.0,0.0,-0.0,False,True,-0.86,2.47
11,2,0,9,,,-0.0,0.0,,,False,False,-0.66,5.89
1,3,1,8,0.0,0.04,0.0,0.01,-0.01,0.05,True,True,-14.0,0.01
2,3,1,8,,,0.0,0.01,-0.0,0.02,False,True,-8.72,-5.01
3,3,1,8,,,0.0,0.01,-0.01,-0.0,False,True,-8.31,-0.05
4,3,1,8,,,0.0,0.01,0.02,0.03,False,True,-8.7,4.92
